day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | glass of raw eggs	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	1952 Mickey Mantle	XO Skeleton	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	XO Skeleton		0	-1	0	0	0	0	 | A Brush with Grossness (50)			0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	XO Skeleton		0	-1	0	0	0	0	 | Hot-Headed (50)			0	0	0	0	0	0		
1	1	false	The Haunted Kitchen	possessed silverware drawer	XO Skeleton		0	6	0	0	0	0	 | The Applause That Refreshes (10)		 | INFECTIOUS BITE | DRAGOON PLATOON | I CAN BEARLY HEAR YOU OVER THE APPLAUSE | COWBOY KICK | KODIAK MOMENT	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Enforcer	XO Skeleton	 | decent brain	12	2	14	15	8	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Engineer	XO Skeleton	 | LOV Eardigan	14	3	15	14	8	0			 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Equivocator	XO Skeleton	 | decent brain	13	3	21	8	22	0	 | Lovebotamy (50)		 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	XO Skeleton	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	false	The Spooky Forest	spooky vampire	XO Skeleton		0	2	0	0	0	0			 | DRAGOON PLATOON	0	0	0	0	0	0		
1	3	true	The Spooky Forest	sausage goblin	XO Skeleton	 | magical sausage casing | O | decent brain	83	3	25	12	13	0			 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Rook	XO Skeleton	 | Greek fire	14	3	27	12	15	0			 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	N/A	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		10	2	30	25	13	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		10	2	33	18	19	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton	 | X	14	2	48	12	14	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		10	2	36	13	28	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		14	11	36	23	17	0			 | BEAR-BACKRUB | DRAGOON PLATOON | COWBOY KICK | INFECTIOUS BITE | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SUMMON LOVE MOSQUITO	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		12	3	41	19	18	0			 | DRAGOON PLATOON | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton	 | iced plum wine | blue pixel	11	5	32	20	23	0			 | KODIAK MOMENT | INFECTIOUS BITE	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton	 | O	10	6	37	23	24	0			 | DRAGOON PLATOON | KODIAK MOMENT | COWBOY KICK	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		11	9	38	23	25	0			 | DRAGOON PLATOON | COWBOY KICK | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	XO Skeleton		13	11	48	18	25	0	 | Wolfish Form (1)	|exploding cigar|exploding cigar	 | DRAGOON PLATOON | COWBOY KICK | KODIAK MOMENT | BECOME A WOLF	0	0	0	0	0	0		
1	3	true	The Neverending Party	N/A	XO Skeleton		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The Neverending Party	&quot;plain&quot; girl	XO Skeleton	 | electronics kit | PB&J with the crusts cut off | dorky glasses | ponytail clip	170	3	38	19	22	0			 | DRAGOON PLATOON | BEAR HUG	0	0	0	0	0	0		
1	3	true	Boxing Daycare	Visit the Boxing Day Spa	XO Skeleton		0	-1	0	0	0	0	 | Muddled (100)			0	0	0	0	0	0		
1	3	true	The Neverending Party	biker	XO Skeleton	 | gas can | Middle of the Road&trade; brand whiskey | neverending wallet chain | pentagram bandana | X	221	7	87	27	25	0			 | KODIAK MOMENT | INFECTIOUS BITE | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	3	true	The Neverending Party	jock	XO Skeleton	 | Purple Beast energy drink | green pixel | good brain	331	3	81	19	37	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	biker	XO Skeleton	 | good brain	268	4	77	37	33	0			 | INFECTIOUS BITE | KODIAK MOMENT | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	3	true	The Neverending Party	jock	XO Skeleton	 | cosmetic football	366	3	69	39	34	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	jock	XO Skeleton	 | unremarkable duffel bag | Purple Beast energy drink	366	3	77	35	33	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	biker	XO Skeleton	 | red pixel | O | good brain	247	4	83	38	38	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	Gone Kitchin'	XO Skeleton		0	-1	0	0	0	0	 | Spiced Up (20)			0	0	0	0	0	0		
1	3	true	Deck of Every Card	XXI - The World	XO Skeleton	 | Cobb's Knob map | Evilometer	0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The Neverending Party	&quot;plain&quot; girl	XO Skeleton	 | electronics kit | good brain	252	3	126	50	40	0			 | INFECTIOUS BITE | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	The Neverending Party	burnout	XO Skeleton	 | jam band bootleg | ratty knitted cap	115	2	131	42	50	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Rook	XO Skeleton	 | Greek fire	10	2	137	47	47	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Knight	XO Skeleton	 | jumping horseradish | green pixel | X	11	2	115	48	48	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Rook	XO Skeleton	 | Greek fire	10	3	143	47	54	0			 | KODIAK MOMENT	0	0	0	0	0	0		
1	3	true	Your Witchess Set	Witchess Rook	XO Skeleton	 | Greek fire	10	3	154	47	44	0			 | KODIAK MOMENT	0	0	0	0	0	0		
